Teenage boy	12,23	bn:00001478n	http://babelnet.org/rdf/s00001478n	http://dbpedia.org/resource/Adolescence
critical	24,32	bn:00100672a	http://babelnet.org/rdf/s00100672a	null
shot	45,49	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
multiple	50,58	bn:00107028a	http://babelnet.org/rdf/s00107028a	null
times	59,64	bn:00077270n	http://babelnet.org/rdf/s00077270n	http://dbpedia.org/resource/Time
Juniata	68,75	bn:03234269n	http://babelnet.org/rdf/s03234269n	http://dbpedia.org/resource/Junia
Police	78,84	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
say	85,88	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
teenage boy	91,102	bn:00001478n	http://babelnet.org/rdf/s00001478n	http://dbpedia.org/resource/Adolescence
fighting	106,114	bn:00085711v	http://babelnet.org/rdf/s00085711v	null
life	119,123	bn:00051045n	http://babelnet.org/rdf/s00051045n	null
shot up	136,143	bn:00093661v	http://babelnet.org/rdf/s00093661v	null
times	151,156	bn:00077270n	http://babelnet.org/rdf/s00077270n	http://dbpedia.org/resource/Time
Juniata	164,171	bn:03234269n	http://babelnet.org/rdf/s03234269n	http://dbpedia.org/resource/Junia
section	172,179	bn:00032341n	http://babelnet.org/rdf/s00032341n	http://dbpedia.org/resource/Scouting
Philadelphia	183,195	bn:00019334n	http://babelnet.org/rdf/s00019334n	http://dbpedia.org/resource/Philadelphia
happened	201,209	bn:00085337v	http://babelnet.org/rdf/s00085337v	null
a.m.	219,223	bn:00114043r	http://babelnet.org/rdf/s00114043r	null
Monday	224,230	bn:00055609n	http://babelnet.org/rdf/s00055609n	http://dbpedia.org/resource/Monday
block	243,248	bn:00011308n	http://babelnet.org/rdf/s00011308n	http://dbpedia.org/resource/Block_(district_subdivision)
Street	260,266	bn:00074595n	http://babelnet.org/rdf/s00074595n	http://dbpedia.org/resource/Street
Officers	269,277	bn:00054972n	http://babelnet.org/rdf/s00054972n	http://dbpedia.org/resource/Officer_(armed_forces)
arrived	278,285	bn:00082788v	http://babelnet.org/rdf/s00082788v	null
find	289,293	bn:00084231v	http://babelnet.org/rdf/s00084231v	null
old boy	308,315	bn:00058803n	http://babelnet.org/rdf/s00058803n	null
suffering	316,325	bn:00087618v	http://babelnet.org/rdf/s00087618v	null
multiple	326,334	bn:00107028a	http://babelnet.org/rdf/s00107028a	null
gunshot wounds	335,349	bn:00191195n	http://babelnet.org/rdf/s00191195n	http://dbpedia.org/resource/Ballistic_trauma
rushed	357,363	bn:00083395v	http://babelnet.org/rdf/s00083395v	null
Temple University Hospital	371,397	bn:03884383n	http://babelnet.org/rdf/s03884383n	http://dbpedia.org/resource/Temple_University_School_of_Medicine
critical condition	401,419	bn:02436757n	http://babelnet.org/rdf/s02436757n	http://dbpedia.org/resource/Medical_state
Investigators	422,435	bn:00026633n	http://babelnet.org/rdf/s00026633n	http://dbpedia.org/resource/Detective
say	436,439	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
boy	444,447	bn:00012569n	http://babelnet.org/rdf/s00012569n	http://dbpedia.org/resource/Boy
shot	452,456	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
caliber	468,475	bn:00014731n	http://babelnet.org/rdf/s00014731n	null
weapon	476,482	bn:00005704n	http://babelnet.org/rdf/s00005704n	http://dbpedia.org/resource/Weapon
Police	485,491	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
say	492,495	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
suspect	500,507	bn:00103017a	http://babelnet.org/rdf/s00103017a	null
fled	508,512	bn:00088291v	http://babelnet.org/rdf/s00088291v	null
older	516,521	bn:00096644a	http://babelnet.org/rdf/s00096644a	null
model	522,527	bn:00036197n	http://babelnet.org/rdf/s00036197n	http://dbpedia.org/resource/Economic_model
Pontiac Grand Prix	528,546	bn:03337059n	http://babelnet.org/rdf/s03337059n	http://dbpedia.org/resource/Pontiac_Grand_Prix
working	558,565	bn:00095812v	http://babelnet.org/rdf/s00095812v	null
determine	569,578	bn:00082811v	http://babelnet.org/rdf/s00082811v	null
shot	583,587	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
