Man	12,15	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
charged	16,23	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
shooting	27,35	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
injured	41,48	bn:00089751v	http://babelnet.org/rdf/s00089751v	null
old	58,61	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
left	64,68	bn:00088939v	http://babelnet.org/rdf/s00088939v	null
man	69,72	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
dead	73,77	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
News	103,107	bn:00057546n	http://babelnet.org/rdf/s00057546n	http://dbpedia.org/resource/News
Weather	110,117	bn:00006808n	http://babelnet.org/rdf/s00006808n	http://dbpedia.org/resource/Weather
Sports	120,126	bn:00006759n	http://babelnet.org/rdf/s00006759n	http://dbpedia.org/resource/Athletics_(sport)
LOUISVILLE , KY	129,144	bn:03407278n	http://babelnet.org/rdf/s03407278n	http://dbpedia.org/resource/Louisville,_Kentucky
WAVE	147,151	bn:00056171n	http://babelnet.org/rdf/s00056171n	http://dbpedia.org/resource/Wind_wave
Louisville Metro Police	156,179	bn:03494126n	http://babelnet.org/rdf/s03494126n	http://dbpedia.org/resource/Louisville_Metro_Police_Department
charged	185,192	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
suspect	195,202	bn:00025884n	http://babelnet.org/rdf/s00025884n	http://dbpedia.org/resource/Suspect
shooting	206,214	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
left	220,224	bn:00088939v	http://babelnet.org/rdf/s00088939v	null
man	229,232	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
dead	233,237	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
old girl	253,261	bn:03723445n	http://babelnet.org/rdf/s03723445n	http://dbpedia.org/resource/Old_Boys
injured	262,269	bn:00089751v	http://babelnet.org/rdf/s00089751v	null
Ronald	273,279	bn:00535353n	http://babelnet.org/rdf/s00535353n	http://dbpedia.org/resource/Ronald
charged	299,306	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
murder	312,318	bn:00032175n	http://babelnet.org/rdf/s00032175n	http://dbpedia.org/resource/Murder
assault	321,328	bn:00006466n	http://babelnet.org/rdf/s00006466n	null
receiving stolen property	331,356	bn:03364763n	http://babelnet.org/rdf/s03364763n	http://dbpedia.org/resource/Possession_of_stolen_goods
possession	361,371	bn:00059958n	http://babelnet.org/rdf/s00059958n	http://dbpedia.org/resource/Ownership
handgun	377,384	bn:00042808n	http://babelnet.org/rdf/s00042808n	http://dbpedia.org/resource/Handgun
convicted felon	390,405	bn:00034010n	http://babelnet.org/rdf/s00034010n	http://dbpedia.org/resource/Felony
shooting	413,421	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
22nd	425,429	bn:00095959a	http://babelnet.org/rdf/s00095959a	null
Grand Avenue	434,446	bn:00164198n	http://babelnet.org/rdf/s00164198n	http://dbpedia.org/resource/Grand_Avenue_(Chicago)
Friday	450,456	bn:00036512n	http://babelnet.org/rdf/s00036512n	http://dbpedia.org/resource/Friday
man	474,477	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
died	482,486	bn:00084343v	http://babelnet.org/rdf/s00084343v	null
participated	487,499	bn:00091451v	http://babelnet.org/rdf/s00091451v	null
shooting	507,515	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
according	527,536	bn:00082227v	http://babelnet.org/rdf/s00082227v	null
investigators	540,553	bn:00047356n	http://babelnet.org/rdf/s00047356n	null
stolen	576,582	bn:00094314v	http://babelnet.org/rdf/s00094314v	null
vehicle	583,590	bn:00079675n	http://babelnet.org/rdf/s00079675n	http://dbpedia.org/resource/Vehicle
shooting	602,610	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
police	613,619	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	620,624	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
Detectives	627,637	bn:00026633n	http://babelnet.org/rdf/s00026633n	http://dbpedia.org/resource/Detective
found	638,643	bn:00084231v	http://babelnet.org/rdf/s00084231v	null
firearms	652,660	bn:00034676n	http://babelnet.org/rdf/s00034676n	http://dbpedia.org/resource/Firearm
vehicle	668,675	bn:00079675n	http://babelnet.org/rdf/s00079675n	http://dbpedia.org/resource/Vehicle
ARTICLES	687,695	bn:00006121n	http://babelnet.org/rdf/s00006121n	null
Brother	699,706	bn:00011357n	http://babelnet.org/rdf/s00011357n	null
man	710,713	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
killed	714,720	bn:00090098v	http://babelnet.org/rdf/s00090098v	null
drive	724,729	bn:00028777n	http://babelnet.org/rdf/s00028777n	null
shooting	735,743	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
seen	752,756	bn:00093430v	http://babelnet.org/rdf/s00093430v	null
months	766,772	bn:00014710n	http://babelnet.org/rdf/s00014710n	http://dbpedia.org/resource/Month
Neighbors	776,785	bn:00057219n	http://babelnet.org/rdf/s00057219n	null
reeling	786,793	bn:00084533v	http://babelnet.org/rdf/s00084533v	null
following	794,803	bn:00088421v	http://babelnet.org/rdf/s00088421v	null
old	813,816	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
shot	817,821	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
drive	825,830	bn:00028777n	http://babelnet.org/rdf/s00028777n	null
LMPD	839,843	bn:03494126n	http://babelnet.org/rdf/s03494126n	http://dbpedia.org/resource/Louisville_Metro_Police_Department
Child	846,851	bn:00018346n	http://babelnet.org/rdf/s00018346n	http://dbpedia.org/resource/Child
shot	852,856	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
Grand	860,865	bn:00000010n	http://babelnet.org/rdf/s00000010n	http://dbpedia.org/resource/1000_(number)
Ave	866,869	bn:01092372n	http://babelnet.org/rdf/s01092372n	http://dbpedia.org/resource/Ave
hit	872,875	bn:00089346v	http://babelnet.org/rdf/s00089346v	null
stray bullet	879,891	bn:16389920n	http://babelnet.org/rdf/s16389920n	http://dbpedia.org/resource/Stray_bullet
Layfield	903,911	bn:01397253n	http://babelnet.org/rdf/s01397253n	http://dbpedia.org/resource/Layfield
said	912,916	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
deceased	921,929	bn:00097591a	http://babelnet.org/rdf/s00097591a	null
victim	930,936	bn:00079940n	http://babelnet.org/rdf/s00079940n	null
brother	945,952	bn:00011357n	http://babelnet.org/rdf/s00011357n	null
Layfield	961,969	bn:01397253n	http://babelnet.org/rdf/s01397253n	http://dbpedia.org/resource/Layfield
Metro	1002,1007	bn:00054667n	http://babelnet.org/rdf/s00054667n	null
Corrections	1008,1019	bn:00022841n	http://babelnet.org/rdf/s00022841n	http://dbpedia.org/resource/Rectification_(law)
unrelated	1023,1032	bn:00113144a	http://babelnet.org/rdf/s00113144a	null
charges	1033,1040	bn:00017789n	http://babelnet.org/rdf/s00017789n	null
police	1046,1052	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
charged	1053,1060	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
investigation	1072,1085	bn:00047354n	http://babelnet.org/rdf/s00047354n	null
Copyright	1100,1109	bn:00022536n	http://babelnet.org/rdf/s00022536n	http://dbpedia.org/resource/Copyright
WAVE 3	1115,1121	bn:02411196n	http://babelnet.org/rdf/s02411196n	http://dbpedia.org/resource/Windows_Live
News	1122,1126	bn:00057546n	http://babelnet.org/rdf/s00057546n	http://dbpedia.org/resource/News
rights	1133,1139	bn:00067807n	http://babelnet.org/rdf/s00067807n	http://dbpedia.org/resource/Rights
reserved	1140,1148	bn:00092878v	http://babelnet.org/rdf/s00092878v	null
