Latest	1,2	bn:00050146n	Concept	[wn:06643185n]	http://babelnet.org/rdf/s00050146n	null
Cameo	3,4	bn:00015007n	Concept	[wn:02942577n]	http://babelnet.org/rdf/s00015007n	http://dbpedia.org/resource/Cameo_(carving)
nightclub	4,5	bn:00014419n	Concept	[wn:02931417n]	http://babelnet.org/rdf/s00014419n	http://dbpedia.org/resource/Nightclub
shooting	5,6	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
Total	7,8	bn:00002008n	Concept	[wn:04353803n]	http://babelnet.org/rdf/s00002008n	null
hit up	8,10	bn:13646386v	Concept	[]	http://babelnet.org/rdf/s13646386v	null
security	14,15	bn:00070219n	Concept	[wn:14539268n]	http://babelnet.org/rdf/s00070219n	null
footage	15,16	bn:00035702n	Concept	[wn:03378593n]	http://babelnet.org/rdf/s00035702n	null
provided	16,17	bn:00088643v	Concept	[wn:02327200v]	http://babelnet.org/rdf/s00088643v	null
CLOSE	17,18	bn:00019918n	Concept	[wn:15267536n]	http://babelnet.org/rdf/s00019918n	null
Skip	18,19	bn:00072019n	Concept	[wn:11500122n]	http://babelnet.org/rdf/s00072019n	http://dbpedia.org/resource/Skywave
Skip	20,21	bn:00072019n	Concept	[wn:11500122n]	http://babelnet.org/rdf/s00072019n	http://dbpedia.org/resource/Skywave
Embed	22,23	bn:13709073n	Concept	[]	http://babelnet.org/rdf/s13709073n	null
Share	24,25	bn:00060768n	Concept	[wn:13285176n]	http://babelnet.org/rdf/s00060768n	null
CAMEO	25,26	bn:00015007n	Concept	[wn:02942577n]	http://babelnet.org/rdf/s00015007n	http://dbpedia.org/resource/Cameo_(carving)
NIGHTCLUB	26,27	bn:00014419n	Concept	[wn:02931417n]	http://babelnet.org/rdf/s00014419n	http://dbpedia.org/resource/Nightclub
SHOOTING	27,28	bn:00071206n	Concept	[wn:00122661n]	http://babelnet.org/rdf/s00071206n	null
